Iteracion,Punto_P10,Punto_P11,Punto_P12,Punto_P13,Punto_P14,Punto_P15,Punto_P16,Punto_P17,Punto_P18,Punto_P19,Punto_P2,Punto_P20,Punto_P21,Punto_P3,Punto_P4,Punto_P5,Punto_P6,Punto_P7,Punto_P8,Punto_P9,AntenaA,AntenaB,AntenaC,AntenaD
2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,-62.0,-69.0,-39.0,-41.0
15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-47.0,-64.0,-59.0,-63.0
15,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-57.0,-64.0,-48.0,-37.0
14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-49.0,-50.0,-57.0,-50.0
12,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,-56.0,-53.0,-56.0,-51.0
19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-49.0,-62.0,-51.0,-56.0
11,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,-60.0,-78.0,-42.0,-41.0
20,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-64.0,-68.0,-51.0,-48.0
6,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-60.0,-79.0,-48.0,-50.0
11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-66.0,-51.0,-48.0,-51.0
9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-67.0,-61.0,-23.0,-50.0
15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-66.0,-51.0,-49.0,-51.0
12,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-59.0,-74.0,-47.0,-47.0
3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-56.0,-59.0,-47.0,-51.0
0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-69.0,-47.0,-47.0,-52.0
19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-66.0,-50.0,-46.0,-51.0
8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-58.0,-75.0,-49.0,-48.0
19,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-62.0,-67.0,-39.0,-48.0
13,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-49.0,-52.0,-59.0,-58.0
13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-54.0,-68.0,-63.0,-71.0
7,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-57.0,-64.0,-48.0,-37.0
16,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-58.0,-76.0,-49.0,-48.0
16,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-57.0,-69.0,-47.0,-45.0
21,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-64.0,-66.0,-49.0,-47.0
17,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,-66.0,-67.0,-53.0,-41.0
4,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,-55.0,-58.0,-59.0,-50.0
10,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-54.0,-71.0,-38.0,-49.0
3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-57.0,-61.0,-60.0,-62.0
18,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-65.0,-66.0,-50.0,-47.0
21,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,-55.0,-58.0,-55.0,-49.0
1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-59.0,-68.0,-62.0,-70.0
3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-56.0,-75.0,-38.0,-63.0
5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-56.0,-71.0,-49.0,-44.0
4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-63.0,-66.0,-49.0,-47.0
9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-59.0,-77.0,-49.0,-49.0
16,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-67.0,-69.0,-43.0,-56.0
1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,-54.0,-56.0,-59.0,-47.0
3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-51.0,-57.0,-59.0,-58.0
1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-57.0,-68.0,-42.0,-38.0
17,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-57.0,-64.0,-48.0,-36.0
13,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-57.0,-66.0,-49.0,-39.0
5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,-60.0,-75.0,-40.0,-42.0
14,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-49.0,-57.0,-58.0,-60.0
3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-57.0,-65.0,-50.0,-37.0
3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,-54.0,-52.0,-57.0,-48.0
17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-66.0,-50.0,-46.0,-49.0
2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-48.0,-49.0,-52.0,-48.0
4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-53.0,-71.0,-62.0,-67.0
11,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-51.0,-67.0,-52.0,-55.0
10,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,-56.0,-59.0,-58.0,-51.0
20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-48.0,-49.0,-59.0,-49.0
18,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-65.0,-65.0,-24.0,-49.0
12,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-63.0,-69.0,-38.0,-49.0
